"","Point.Number","Session","PM1","PM2.5","RESP","PM10","TOTAL","lat","lon"
"1",2,1,0.064,0.064,0.065,0.067,0.119,353588.519951265,148440.433226618
"2",2,2,0.022,0.022,0.022,0.025,0.102,353588.519951265,148440.433226618
"3",3,1,0.016,0.016,0.017,0.023,0.068,353588.493232811,148390.787995048
"4",3,2,0.016,0.016,0.017,0.021,0.07,353588.493232811,148390.787995048
"5",5,1,0.015,0.015,0.016,0.022,0.04,353638.526292246,148490.051541928
"6",5,2,0.013,0.013,0.014,0.019,0.027,353638.526292246,148490.051541928
"7",6,1,0.02,0.02,0.021,0.023,0.034,353638.499573992,148440.406328293
"8",6,2,0.018,0.018,0.018,0.024,0.065,353638.499573992,148440.406328293
"9",7,1,0.046,0.046,0.048,0.051,0.09,353638.472864665,148390.761105713
"10",7,2,0.016,0.016,0.017,0.02,0.056,353638.472864665,148390.761105713
"11",8,1,0.028,0.029,0.031,0.035,0.073,353638.446164265,148341.115874189
"12",8,2,0.015,0.015,0.015,0.021,0.058,353638.446164265,148341.115874189
"13",10,1,0.015,0.015,0.017,0.021,0.021,353688.532614842,148539.669839507
"14",10,2,0.014,0.014,0.014,0.019,0.036,353688.532614842,148539.669839507
"15",11,1,0.017,0.017,0.018,0.022,0.067,353688.505896793,148490.024643807
"16",11,2,0.013,0.013,0.014,0.019,0.02,353688.505896793,148490.024643807
"17",12,1,0.017,0.017,0.018,0.02,0.043,353688.479187668,148440.379439159
"18",12,2,0.02,0.02,0.021,0.03,0.06,353688.479187668,148440.379439159
"19",13,1,0.02,0.021,0.022,0.026,0.026,353688.452487468,148390.734225565
"20",13,2,0.014,0.014,0.014,0.018,0.037,353688.452487468,148390.734225565
"21",14,1,0.017,0.017,0.019,0.022,0.042,353738.538919049,148589.288119362
"22",14,2,0.015,0.015,0.015,0.017,0.048,353738.538919049,148589.288119362
"23",15,1,0.035,0.035,0.036,0.053,0.099,353738.512201211,148539.642941596
"24",15,2,0.013,0.013,0.013,0.018,0.019,353738.512201211,148539.642941596
"25",16,1,0.016,0.016,0.018,0.022,0.056,353738.485492295,148489.99775488
"26",16,2,0.015,0.015,0.016,0.023,0.059,353738.485492295,148489.99775488
"27",17,1,0.042,0.042,0.043,0.045,0.083,353738.458792301,148440.352559214
"28",17,2,0.016,0.016,0.017,0.021,0.069,353738.458792301,148440.352559214
"29",18,1,0.017,0.017,0.018,0.024,0.025,353788.518487239,148589.261221667
"30",18,2,0.014,0.014,0.015,0.019,0.066,353788.518487239,148589.261221667
"31",19,1,0.016,0.016,0.017,0.021,0.034,353788.491778538,148539.616052882
"32",19,2,0.024,0.024,0.025,0.032,0.118,353788.491778538,148539.616052882
"33",20,1,0.021,0.021,0.023,0.028,0.036,353788.465078755,148489.970875145
"34",20,2,0.023,0.023,0.024,0.031,0.119,353788.465078755,148489.970875145
"35",21,1,0.019,0.02,0.02,0.024,0.024,353838.498046391,148589.234333171
"36",21,2,0.028,0.028,0.029,0.034,0.087,353838.498046391,148589.234333171
"37",22,1,0.026,0.027,0.028,0.03,0.064,353838.471346826,148539.589173364
"38",22,2,0.041,0.041,0.044,0.063,0.144,353838.471346826,148539.589173364
"39",23,1,0.02,0.02,0.021,0.031,0.031,353888.477596506,148589.207453876
"40",23,2,0.021,0.021,0.021,0.027,0.068,353888.477596506,148589.207453876
"41",24,1,0.021,0.021,0.021,0.027,0.077,353888.450906077,148539.562303042
"42",24,2,0.091,0.091,0.092,0.095,0.101,353888.450906077,148539.562303042
"43",25,1,0.025,0.025,0.026,0.026,0.065,353938.483827789,148638.825716687
"44",25,2,0.021,0.021,0.022,0.032,0.077,353938.483827789,148638.825716687
"45",26,1,0.138,0.138,0.139,0.139,0.139,353938.457137587,148589.180583779
"46",26,2,0.023,0.023,0.024,0.024,0.062,353938.457137587,148589.180583779
"47",27,1,0.018,0.018,0.018,0.021,0.028,353988.516739547,148738.089067827
"48",27,2,0.014,0.014,0.014,0.017,0.063,353988.516739547,148738.089067827
"49",28,1,0.037,0.038,0.042,0.05,0.137,353988.490040671,148688.443961805
"50",28,2,0.02,0.02,0.021,0.023,0.074,353988.490040671,148688.443961805
"51",29,1,0.021,0.021,0.022,0.029,0.079,353988.463350702,148638.798846822
"52",29,2,0.025,0.025,0.025,0.025,0.069,353988.463350702,148638.798846822
"53",30,1,0.022,0.022,0.023,0.028,0.038,354038.469545415,148688.417092178
"54",30,2,0.021,0.021,0.022,0.024,0.051,354038.469545415,148688.417092178
