"","Point.Number","Session","PM1","PM2.5","RESP","PM10","TOTAL","lat","lon"
"1",2,1,0.0147333333333333,0.015,0.0159666666666667,0.0177666666666667,0.0238666666666667,353588.519951265,148440.433226618
"2",2,2,0.0136,0.0136333333333333,0.0141,0.0152,0.0251666666666667,353588.519951265,148440.433226618
"3",3,1,0.0138333333333333,0.014,0.0148333333333333,0.0166666666666667,0.0197666666666667,353588.493232811,148390.787995048
"4",3,2,0.0124333333333333,0.0124333333333333,0.0128666666666667,0.0148333333333333,0.0175333333333333,353588.493232811,148390.787995048
"5",5,1,0.0130666666666667,0.0131666666666667,0.014,0.0158,0.0179333333333333,353638.526292246,148490.051541928
"6",5,2,0.0114,0.0114333333333333,0.0117666666666667,0.0127666666666667,0.0133,353638.526292246,148490.051541928
"7",6,1,0.0129,0.0131,0.0137666666666667,0.0152666666666667,0.0168333333333333,353638.499573992,148440.406328293
"8",6,2,0.011,0.011,0.0114333333333333,0.0130666666666667,0.0158,353638.499573992,148440.406328293
"9",7,1,0.0146,0.0146333333333333,0.0157333333333333,0.0174333333333333,0.02,353638.472864665,148390.761105713
"10",7,2,0.0123,0.0123,0.0127666666666667,0.0140333333333333,0.0164,353638.472864665,148390.761105713
"11",8,1,0.0208,0.0210333333333333,0.0225333333333333,0.0257333333333333,0.0303333333333333,353638.446164265,148341.115874189
"12",8,2,0.0096,0.00973333333333333,0.0102,0.0115333333333333,0.0134666666666667,353638.446164265,148341.115874189
"13",10,1,0.013,0.0131,0.0141666666666667,0.0156333333333333,0.0158666666666667,353688.532614842,148539.669839507
"14",10,2,0.0114333333333333,0.0114333333333333,0.0119,0.0134,0.0162,353688.532614842,148539.669839507
"15",11,1,0.0133,0.0135,0.0144,0.0159333333333333,0.0214333333333333,353688.505896793,148490.024643807
"16",11,2,0.0105333333333333,0.0105666666666667,0.0108333333333333,0.0121666666666667,0.0124666666666667,353688.505896793,148490.024643807
"17",12,1,0.0132666666666667,0.0133666666666667,0.0142,0.0153333333333333,0.0165666666666667,353688.479187668,148440.379439159
"18",12,2,0.0132333333333333,0.0132666666666667,0.0137666666666667,0.0160666666666667,0.0189666666666667,353688.479187668,148440.379439159
"19",13,1,0.0178,0.0181,0.0194,0.0216,0.0216,353688.452487468,148390.734225565
"20",13,2,0.00923333333333333,0.00926666666666667,0.0098,0.0106,0.0123333333333333,353688.452487468,148390.734225565
"21",14,1,0.0142666666666667,0.0143333333333333,0.0154333333333333,0.017,0.0182666666666667,353738.538919049,148589.288119362
"22",14,2,0.0114666666666667,0.0115,0.0119666666666667,0.0131666666666667,0.0162,353738.538919049,148589.288119362
"23",15,1,0.0156333333333333,0.0157666666666667,0.0170333333333333,0.0213666666666667,0.033,353738.512201211,148539.642941596
"24",15,2,0.00986666666666667,0.00986666666666667,0.0103,0.0118333333333333,0.0122,353738.512201211,148539.642941596
"25",16,1,0.0129333333333333,0.0132,0.0140666666666667,0.0154666666666667,0.0170666666666667,353738.485492295,148489.99775488
"26",16,2,0.0133333333333333,0.0133666666666667,0.0139333333333333,0.0155,0.0183,353738.485492295,148489.99775488
"27",17,1,0.0193333333333333,0.0195666666666667,0.0208666666666667,0.0233333333333333,0.0251666666666667,353738.458792301,148440.352559214
"28",17,2,0.0125,0.0125333333333333,0.0131333333333333,0.0146333333333333,0.0170333333333333,353738.458792301,148440.352559214
"29",18,1,0.0139,0.0140333333333333,0.0151,0.0169666666666667,0.0174333333333333,353788.518487239,148589.261221667
"30",18,2,0.0109,0.0109,0.0111666666666667,0.0124,0.0147,353788.518487239,148589.261221667
"31",19,1,0.0136,0.0136,0.0147333333333333,0.0167,0.0184,353788.491778538,148539.616052882
"32",19,2,0.0142,0.0143,0.0148666666666667,0.0175666666666667,0.0294666666666667,353788.491778538,148539.616052882
"33",20,1,0.0176,0.0178666666666667,0.0194,0.0218,0.0223666666666667,353788.465078755,148489.970875145
"34",20,2,0.0125,0.0125333333333333,0.0131666666666667,0.0173333333333333,0.0345,353788.465078755,148489.970875145
"35",21,1,0.0144,0.0146,0.0157333333333333,0.0172666666666667,0.0172666666666667,353838.498046391,148589.234333171
"36",21,2,0.0156333333333333,0.0157333333333333,0.0164,0.0194,0.0289666666666667,353838.498046391,148589.234333171
"37",22,1,0.0161,0.0163333333333333,0.0177666666666667,0.0203,0.0235666666666667,353838.471346826,148539.589173364
"38",22,2,0.0162666666666667,0.0163333333333333,0.017,0.0215333333333333,0.0375333333333333,353838.471346826,148539.589173364
"39",23,1,0.0151333333333333,0.0153333333333333,0.0164,0.0185666666666667,0.0191,353888.477596506,148589.207453876
"40",23,2,0.015,0.0151333333333333,0.0160666666666667,0.0205666666666667,0.0291333333333333,353888.477596506,148589.207453876
"41",24,1,0.0162,0.0164333333333333,0.0177333333333333,0.0204,0.0269,353888.450906077,148539.562303042
"42",24,2,0.0155333333333333,0.0156,0.016,0.0181333333333333,0.0246333333333333,353888.450906077,148539.562303042
"43",25,1,0.0161,0.0162,0.0175,0.0193666666666667,0.0242333333333333,353938.483827789,148638.825716687
"44",25,2,0.0144333333333333,0.0144333333333333,0.015,0.0187333333333333,0.0284,353938.483827789,148638.825716687
"45",26,1,0.0412,0.0413666666666667,0.0424666666666667,0.0439,0.0439,353938.457137587,148589.180583779
"46",26,2,0.00963333333333333,0.00973333333333333,0.01,0.012,0.0155,353938.457137587,148589.180583779
"47",27,1,0.0142666666666667,0.0143333333333333,0.0151666666666667,0.016,0.0164,353988.516739547,148738.089067827
"48",27,2,0.0104,0.0105333333333333,0.0108333333333333,0.0117,0.015,353988.516739547,148738.089067827
"49",28,1,0.0191333333333333,0.0193,0.0208666666666667,0.0259333333333333,0.0417666666666667,353988.490040671,148688.443961805
"50",28,2,0.0114666666666667,0.0115333333333333,0.0117666666666667,0.0140666666666667,0.0190666666666667,353988.490040671,148688.443961805
"51",29,1,0.0177666666666667,0.0178666666666667,0.019,0.0217666666666667,0.0263666666666667,353988.463350702,148638.798846822
"52",29,2,0.00913333333333333,0.0092,0.00966666666666667,0.0116,0.0133333333333333,353988.463350702,148638.798846822
"53",30,1,0.0177333333333333,0.0179,0.0193666666666667,0.0218,0.0228666666666667,354038.469545415,148688.417092178
"54",30,2,0.0125333333333333,0.0125333333333333,0.0130333333333333,0.0149666666666667,0.0198,354038.469545415,148688.417092178
